Gender,Age,Married,Dependents,Education,Employment Type,Monthly Income,CoApplicant Income,Loan Amount,Loan Term,Credit History,Existing Debt,Property Area,Loan_Status
Male,62,No,2,Graduate,Salaried,5759.552657691669,1418.2964269708582,30000.0,36,0.0,12322.052016003703,Rural,0
Female,34,No,0,Not Graduate,Self employed,8820.047143373256,0.0,35145.987890988436,360,1.0,1708.853319330423,Urban,1
Female,65,Yes,1,Graduate,Self employed,1500.0,2086.4240161843422,30000.0,180,1.0,1117.933069685383,Semiurban,1
Male,34,Yes,1,Graduate,Self employed,2258.4032752416842,1094.5035525020496,30000.0,120,1.0,582.9087825100705,Rural,1
Male,41,Yes,3,Graduate,Self employed,3692.783895261831,0.0,30000.0,180,0.0,0.0,Urban,1
Female,53,No,1,Graduate,Self employed,9652.947166800823,0.0,39451.729481878094,360,1.0,12875.8828755767,Urban,1
Male,26,Yes,0,Not Graduate,Self employed,6706.467457298241,981.5210606060332,30000.0,360,1.0,21000.3513736642,Rural,1
Female,47,No,1,Graduate,Salaried,7918.293101153067,668.5490233204689,30000.0,240,1.0,11892.67370460153,Semiurban,1
Male,45,No,0,Not Graduate,Self employed,3149.5977021844237,844.8698296380497,30000.0,180,0.0,0.0,Urban,1
Male,59,No,0,Graduate,Salaried,3201.1603118236844,958.026315204673,30000.0,120,1.0,10473.91631732361,Semiurban,0
Female,69,Yes,1,Graduate,Salaried,7119.534291806776,1338.3397592652711,30000.0,240,1.0,10697.608026939142,Semiurban,1
Female,53,No,0,Graduate,Salaried,6145.685827338616,2421.4744147724496,30000.0,120,1.0,28767.990001803515,Semiurban,1
Female,40,Yes,0,Not Graduate,Self employed,7371.847047160316,0.0,30000.0,240,0.0,342.89669664354915,Urban,1
Female,40,Yes,0,Graduate,Self employed,5530.82252267887,0.0,30000.0,360,0.0,8874.579179206434,Urban,0
Female,40,Yes,0,Graduate,Salaried,6695.359316136568,0.0,30000.0,36,1.0,25646.821444356516,Semiurban,1
Female,60,Yes,0,Graduate,Self employed,6395.297712262773,1433.3750007530602,30000.0,36,0.0,15599.826730772384,Urban,0
Female,36,No,0,Graduate,Self employed,7944.418472712314,2867.421067969668,30000.0,60,1.0,16506.504588131396,Rural,1
Male,28,No,1,Not Graduate,Salaried,8017.5207048611765,352.9908426407343,30000.0,360,1.0,12916.675496191026,Semiurban,1
Female,36,Yes,0,Graduate,Salaried,1950.3200140205754,0.0,30000.0,360,1.0,14639.548309258116,Urban,1
Male,21,No,3,Graduate,Salaried,1500.0,0.0,30000.0,60,1.0,18220.87624222829,Semiurban,1
